L(0,1)		F(1,1)		L(0,2)		L(0,3)		L(0,4)		L(0,5)		L(0,6)		L(0,7)		L(0,8)		L(0,9)		L(0,10)		F(1,2)		F(1,3)		F(1,4)		F(1,5)		F(1,6)		F(1,7)		F(1,8)		F(1,9)		F(1,10)		F(1,11)		F(1,12)		F(1,13)		F(1,14)		F(1,15)		F(1,16)		F(1,17)		T(0,2)		T(0,3)		T(0,4)		T(0,5)		T(0,6)		T(0,7)	
476  Points		474  Points		472  Points		431  Points		399  Points		281  Points		281  Points		219  Points		219  Points		173  Points		163  Points		471  Points		443  Points		437  Points		431  Points		420  Points		399  Points		390  Points		347  Points		344  Points		280  Points		234  Points		234  Points		274  Points		172  Points		162  Points		148  Points		437  Points		420  Points		390  Points		345  Points		274  Points		149  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
3.30203	2.03395	3.33483	2.03777	3.41378	2.10231	4.12541	2.53602	4.86822	3.00019	6.32153	3.88858	6.31669	3.89114									3.42885	2.10677	3.58083	2.2047	3.77306	2.3261	4.1281	2.53862	4.23585	2.60552	4.86401	2.99708	4.90374	3.01958	5.64139	3.47056	5.70435	3.50377	6.33294	3.89162	6.93308	4.25875	6.93041	4.26014	6.58206	4.05191							3.77177	2.31904	4.22943	2.59844	4.88929	3.008	5.6913	3.49939	6.58423	4.03728		
3.31725	2.0342	3.35002	2.03799	3.42794	2.10161	4.138	2.53243	4.87952	2.99372	6.33671	3.88053	6.33189	3.88309									3.44302	2.10606	3.59681	2.20465	3.78821	2.325	4.14073	2.53504	4.24935	2.60217	4.87547	2.99072	4.91526	3.01316	5.65324	3.46234	5.71457	3.49442	6.34795	3.88347	6.94981	4.25002	6.94715	4.25141	6.5908	4.03918							3.78697	2.31801	4.243	2.59517	4.90102	3.00177	5.70139	3.48996	6.59297	4.02467		
3.33247	2.03445	3.3652	2.0382	3.44212	2.10092	4.15062	2.52888	4.89083	2.98731	6.35178	3.87249	6.34699	3.87505									3.4572	2.10536	3.61279	2.20461	3.80337	2.32392	4.15337	2.53149	4.26286	2.59885	4.88694	2.98443	4.9268	3.00682	5.66505	3.45417	5.72483	3.48517	6.36287	3.87533	6.96653	4.24136	6.96387	4.24273	6.59956	4.02659							3.80217	2.31699	4.25659	2.59194	4.91277	2.99561	5.7115	3.48064	6.60174	4.01219		
3.34769	2.0347	3.38038	2.0384	3.4563	2.10024	4.16327	2.52538	4.90214	2.98097	6.36675	3.86446	6.362	3.86701									3.47139	2.10467	3.62877	2.20456	3.81853	2.32285	4.16605	2.528	4.2764	2.59558	4.89842	2.9782	4.93837	3.00054	5.67682	3.44605	5.73511	3.47602	6.37769	3.8672	6.98321	4.23275	6.98056	4.23411	6.60836	4.01412							3.81739	2.31598	4.2702	2.58875	4.92455	2.98952	5.72164	3.47141	6.61054	3.99983		
3.3629	2.03494	3.39556	2.0386	3.4705	2.09958	4.17594	2.52193	4.91347	2.97468	6.38162	3.85644	6.3769	3.85899									3.4856	2.10399	3.64475	2.20452	3.8337	2.32179	4.17875	2.52455	4.28995	2.59235	4.90991	2.97203	4.94996	2.99434	5.68856	3.43798	5.74542	3.46697	6.39241	3.85909	6.99986	4.2242	6.99722	4.22555	6.61718	4.00178							3.83261	2.31499	4.28382	2.58559	4.93635	2.98349	5.7318	3.46228	6.61937	3.9876		
3.37811	2.03518	3.41073	2.0388	3.48472	2.09894	4.18864	2.51852	4.9248	2.96846	6.3964	3.84844	6.39171	3.85098									3.49982	2.10333	3.66073	2.20447	3.84888	2.32075	4.19147	2.52114	4.30352	2.58916	4.92141	2.96592	4.96158	2.9882	5.70025	3.42995	5.75575	3.45801	6.40704	3.851	7.01648	4.2157	7.01384	4.21705	6.62603	3.98956							3.84783	2.31401	4.29746	2.58247	4.94817	2.97754	5.742	3.45325	6.62822	3.9755		
3.39332	2.03541	3.4259	2.03899	3.49894	2.0983	4.20136	2.51516	4.93614	2.96229	6.41108	3.84045	6.40642	3.84299									3.51405	2.10268	3.67671	2.20443	3.86406	2.31972	4.20421	2.51778	4.31711	2.58601	4.93292	2.95986	4.97322	2.98213	5.71192	3.42197	5.76612	3.44915	6.42158	3.84291					6.63491	3.97747							3.86307	2.31304	4.31111	2.57939	4.96002	2.97165	5.75221	3.44431	6.6371	3.96351		
3.40852	2.03564	3.44107	2.03918	3.51318	2.09768	4.21411	2.51184	4.94749	2.95618	6.42567	3.83247	6.42104	3.83501									3.5283	2.10205	3.69269	2.20439	3.87925	2.3187	4.21698	2.51447	4.33072	2.58289	4.94444	2.95387	4.98488	2.97613	5.72354	3.41405	5.77651	3.44038	6.43602	3.83485					6.64381	3.9655							3.87831	2.31209	4.32478	2.57635	4.97189	2.96582	5.76246	3.43547	6.646	3.95165		
3.42372	2.03586	3.45623	2.03936	3.52743	2.09707	4.22688	2.50857	4.95885	2.95014	6.44016	3.82451	6.43556	3.82704									3.54256	2.10143	3.70867	2.20435	3.89445	2.3177	4.22978	2.51119	4.34434	2.57981	4.95597	2.94793	4.99657	2.9702	5.73514	3.40617	5.78694	3.43171	6.45037	3.8268					6.65274	3.95364							3.89355	2.31114	4.33847	2.57334	4.98379	2.96006	5.77273	3.42672	6.65493	3.9399		
3.43892	2.03608	3.47139	2.03955	3.54169	2.09648	4.23968	2.50533	4.97022	2.94415	6.45457	3.81656	6.45	3.81909									3.55683	2.10082	3.72465	2.20431	3.90965	2.31671	4.24259	2.50796	4.35798	2.57677	4.96751	2.94205	5.00828	2.96433	5.7467	3.39834	5.79738	3.42312	6.46464	3.81876					6.6617	3.94191							3.90881	2.31021	4.35217	2.57037	4.9957	2.95436	5.78303	3.41806	6.66389	3.92827		
3.45411	2.03629	3.48655	2.03972	3.55597	2.09589	4.2525	2.50214	4.98161	2.93822	6.46889	3.80863	6.46434	3.81115									3.57111	2.10022	3.74063	2.20426	3.92486	2.31573	4.25544	2.50477	4.37163	2.57376	4.97905	2.93623	5.02002	2.95853	5.75823	3.39056	5.80786	3.41463	6.47881	3.81075					6.67068	3.93029							3.92406	2.30929	4.36589	2.56743	5.00765	2.94872	5.79335	3.40949	6.67288	3.91675		
3.4693	2.03651	3.5017	2.0399	3.57025	2.09532	4.26534	2.49899	4.993	2.93234	6.48312	3.80071	6.4786	3.80323									3.5854	2.09963	3.75661	2.20422	3.94008	2.31476	4.2683	2.50162	4.38531	2.57079	4.99061	2.93046	5.03178	2.95279	5.76974	3.38283	5.81836	3.40622	6.49291	3.80275					6.6797	3.91879							3.93933	2.30838	4.37963	2.56452	5.01961	2.94315	5.8037	3.401	6.68189	3.90535		
3.48448	2.03671	3.51685	2.04007	3.58455	2.09476	4.27821	2.49589	5.00441	2.92653	6.49726	3.79281	6.49277	3.79532									3.5997	2.09906	3.77259	2.20418	3.9553	2.31381	4.28119	2.49851	4.399	2.56786	5.00218	2.92475	5.04357	2.94711	5.78122	3.37515	5.82889	3.3979	6.50691	3.79477					6.68873	3.9074							3.9546	2.30749	4.39338	2.56165	5.03159	2.93763	5.81408	3.39261	6.69092	3.89406		
3.49966	2.03692	3.53199	2.04024	3.59886	2.09421	4.29111	2.49282	5.01582	2.92077	6.51132	3.78493	6.50686	3.78744									3.61401	2.09849	3.78858	2.20415	3.97053	2.31286	4.2941	2.49544	4.4127	2.56495	5.01376	2.91909	5.05538	2.9415	5.79267	3.36752	5.83944	3.38966	6.52084	3.78681					6.6978	3.89612							3.96987	2.3066	4.40714	2.55881	5.0436	2.93218	5.82448	3.3843	6.69999	3.88288		
