Sym		Asym		Mode 1		Mode 2		Mode 3		Mode 4		Mode 5		Mode 6	
502  Points		543  Points		494  Points		448  Points		261  Points		257  Points		223  Points		224  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.534094	1.82184	0.471305	1.44314	0.982346	3.35606	1.09205	3.72806	1.57851	5.38697	1.79866	6.11243	2.00067	6.75133	2.02728	6.81017
0.538393	1.82131	0.476465	1.4481	0.985469	3.33885	1.09888	3.72034	1.5846	5.36302	1.80047	6.06817	2.00125	6.71924	2.02756	6.7912
0.542696	1.82081	0.481631	1.45301	0.988517	3.32166	1.10577	3.71293	1.59071	5.33951	1.80232	6.02475	2.00198	6.68096	2.02795	6.76562
0.547003	1.82034	0.486803	1.45786	0.991497	3.30453	1.1127	3.70578	1.59682	5.31641	1.80419	5.98215	2.00287	6.63677	2.02847	6.7336
0.551315	1.81988	0.491981	1.46266	0.994419	3.28749	1.11967	3.69887	1.60295	5.29373	1.8061	5.94034	2.00396	6.58701	2.02912	6.6954
0.55563	1.81944	0.497165	1.46741	0.997291	3.27055	1.12666	3.69215	1.60909	5.27145	1.80805	5.8993	2.0051	6.53824	2.02992	6.65128
0.55995	1.81903	0.502354	1.4721	1.00012	3.25374	1.13367	3.6856	1.61524	5.24955	1.81003	5.85904	2.00631	6.49044	2.03088	6.60156
0.564274	1.81863	0.507548	1.47674	1.00291	3.23707	1.14069	3.6792	1.6214	5.22803	1.81205	5.81952	2.00758	6.44358	2.0319	6.5528
0.568602	1.81826	0.512747	1.48133	1.00566	3.22056	1.14772	3.67291	1.62756	5.20688	1.8141	5.78074	2.0089	6.39765	2.03296	6.50496
0.572934	1.8179	0.517951	1.48588	1.00839	3.20421	1.15475	3.66673	1.63374	5.18609	1.81619	5.74267	2.01029	6.35262	2.03409	6.45805
0.57727	1.81756	0.52316	1.49037	1.01109	3.18803	1.16178	3.66064	1.63993	5.16564	1.81833	5.70532	2.01175	6.30849	2.03527	6.41202
0.581611	1.81724	0.528373	1.49481	1.01378	3.17204	1.1688	3.65461	1.64612	5.14554	1.8205	5.66865	2.01327	6.26522	2.0365	6.36687
0.585956	1.81694	0.533591	1.4992	1.01644	3.15624	1.17581	3.64864	1.65233	5.12576	1.82271	5.63267	2.01485	6.2228	2.03779	6.32258
0.590305	1.81666	0.538814	1.50355	1.01909	3.14063	1.18281	3.64271	1.65854	5.10631	1.82496	5.59735	2.01649	6.18122	2.03913	6.27913
0.594658	1.81639	0.54404	1.50785	1.02173	3.12521	1.18978	3.63682	1.66476	5.08718	1.82726	5.56269	2.0182	6.14046	2.04053	6.2365
0.599016	1.81614	0.54927	1.5121	1.02435	3.10999	1.19674	3.63095	1.67099	5.06835	1.8296	5.52868	2.01998	6.10049	2.04199	6.19468
0.603378	1.81591	0.554505	1.51631	1.02697	3.09497	1.20367	3.6251	1.67722	5.04982	1.83199	5.4953	2.02183	6.06132	2.04351	6.15366
0.607744	1.81569	0.559743	1.52047	1.02958	3.08015	1.21058	3.61926	1.68346	5.03158	1.83442	5.46254	2.02374	6.02291	2.04509	6.11341
0.612115	1.81549	0.564985	1.52458	1.03219	3.06552	1.21746	3.61342	1.68971	5.01362	1.8369	5.4304	2.02572	5.98525	2.04673	6.07392
0.616491	1.81531	0.569555	1.52813	1.03479	3.0511	1.22431	3.60757	1.69597	4.99595	1.83943	5.39887	2.02776	5.94834	2.04842	6.03517
0.62087	1.81514	0.573454	1.53113	1.03739	3.03688	1.23112	3.60171	1.70223	4.97854	1.84201	5.36793	2.02988	5.91215	2.05018	5.99716
