S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
477  Points		478  Points		404  Points		288  Points		221  Points		174  Points		435  Points		354  Points		239  Points		178  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.73691	2.73519	1.16479	1.83006	2.71285	4.29165	3.56324	5.61807	4.7277	7.00942	6.62553	9.83557	2.43037	3.85005	3.57479	5.64843	5.11784	7.60337	5.86608	8.7854
1.74608	2.71824	1.18105	1.83449	2.73633	4.27916	3.58235	5.58365	4.73657	6.94703	6.62905	9.73482	2.44705	3.83195	3.58505	5.59976	5.12932	7.53829	5.87575	8.70429
1.75525	2.70168	1.19731	1.8388	2.75986	4.26702	3.60152	5.55008	4.7456	6.88621	6.63264	9.63631	2.46359	3.81406	3.59555	5.55255	5.1408	7.4746	5.8856	8.62518
1.76444	2.68551	1.21357	1.84301	2.78343	4.2552	3.62074	5.51734	4.75481	6.82692	6.63629	9.53997	2.47999	3.79634	3.60628	5.50677	5.15227	7.41225	5.89561	8.54798
1.77364	2.66972	1.22982	1.84711	2.80701	4.24368	3.64001	5.48541	4.76418	6.7691	6.64001	9.44574	2.49624	3.7788	3.61725	5.46235	5.16373	7.35119	5.90579	8.47266
1.78287	2.65431	1.24606	1.85112	2.8306	4.23242	3.65934	5.45426	4.77248	6.71989	6.64379	9.35354	2.51235	3.76142	3.62846	5.41927	5.17519	7.29137	5.91613	8.39914
1.79213	2.63927	1.26229	1.85502	2.85419	4.2214	3.67872	5.42387	4.77967	6.67878	6.64764	9.26332	2.52831	3.74421	3.63991	5.37746	5.18663	7.23277	5.92665	8.32737
1.80141	2.6246	1.27852	1.85884	2.87776	4.2106	3.69816	5.3942	4.78568	6.64535	6.65155	9.17502	2.54412	3.72715	3.65159	5.3369	5.19807	7.17535	5.93734	8.2573
1.81074	2.6103	1.29474	1.86256	2.90131	4.2	3.71765	5.36525	4.79048	6.61928	6.65553	9.08858	2.55979	3.71024	3.6635	5.29753	5.2095	7.11906	5.94819	8.18889
1.82011	2.59636	1.31095	1.8662	2.92483	4.18957	3.73721	5.33699	4.79404	6.60031	6.65958	9.00394	2.5753	3.69347	3.67564	5.25932	5.22092	7.06387	5.95922	8.12207
1.82952	2.58276	1.32716	1.86975	2.94831	4.17929	3.75682	5.30939	4.79633	6.58825	6.6637	8.92105	2.59067	3.67684	3.68802	5.22223	5.23233	7.00976	5.97042	8.0568
1.83897	2.56951	1.34336	1.87322	2.97173	4.16915	3.77649	5.28245	4.79963	6.57105	6.66788	8.83986	2.60589	3.66035	3.70062	5.18622	5.24372	6.95668	5.98178	7.99304
1.84848	2.5566	1.35955	1.87661	2.99509	4.15913	3.79623	5.25614	4.80325	6.5525	6.67212	8.76032	2.62097	3.64399	3.71345	5.15126	5.25511	6.90461	5.99332	7.93074
1.85804	2.54402	1.37573	1.87991	3.01837	4.14922	3.81603	5.23045	4.8082	6.52754	6.67644	8.68239	2.63589	3.62775	3.7265	5.11731	5.26649	6.85353	6.00502	7.86986
1.86766	2.53177	1.39191	1.88315	3.04158	4.13939	3.83589	5.20535	4.81453	6.4964	6.68082	8.60602	2.65067	3.61164	3.73977	5.08433	5.2764	6.80979	6.01689	7.81035
1.87733	2.51983	1.40808	1.88631	3.0647	4.12964	3.85582	5.18084	4.82227	6.45936	6.68527	8.53116	2.66531	3.59566	3.75325	5.05229	5.28483	6.77306	6.02893	7.75219
1.88706	2.5082	1.42424	1.8894	3.08773	4.11996	3.87582	5.1569	4.83147	6.41676	6.68979	8.45778	2.67981	3.5798	3.76695	5.02116	5.29181	6.74307	6.04114	7.69532
1.89685	2.49688	1.44039	1.89241	3.11065	4.11032	3.89589	5.13351	4.84221	6.36899	6.69438	8.38583	2.69416	3.56406	3.78086	4.99091	5.29732	6.71959	6.05352	7.63972
1.9067	2.48585	1.45653	1.89536	3.13345	4.10072	3.91602	5.11066	4.85312	6.32237	6.69903	8.31527	2.70837	3.54844	3.79497	4.96151	5.30137	6.70247	6.06606	7.58535
1.91661	2.47511	1.47267	1.89825	3.15615	4.09115	3.93623	5.08834	4.86423	6.27686	6.70375	8.24607	2.72245	3.53294	3.80928	4.93292	5.30397	6.69156	6.07877	7.53217
1.92659	2.46465	1.4888	1.90107	3.17871	4.08161	3.95652	5.06653	4.87552	6.23245	6.70855	8.1782	2.73639	3.51756	3.82378	4.90513	5.30769	6.67597	6.09164	7.48014
1.93663	2.45447	1.50492	1.90382	3.20114	4.07207	3.97688	5.04522	4.88699	6.1891	6.71341	8.11161	2.75021	3.5023	3.83848	4.87809	5.31174	6.65913	6.10467	7.42925
1.94673	2.44455	1.52103	1.90652	3.22344	4.06253	3.99731	5.0244	4.89866	6.14679	6.71834	8.04627	2.76389	3.48715	3.85337	4.85179	5.31725	6.6364	6.11786	7.37944
1.9569	2.4349	1.53714	1.90916	3.24559	4.05299	4.01782	5.00406	4.91051	6.10548	6.72334	7.98216	2.77744	3.47213	3.86843	4.8262	5.32421	6.60793	6.13121	7.33071
1.96714	2.4255	1.55324	1.91174	3.26759	4.04343	4.03842	4.98418	4.92255	6.06515	6.72842	7.91923	2.79087	3.45723	3.88367	4.80129	5.33263	6.57393	6.14473	7.283
1.97743	2.41635	1.56933	1.91427	3.28943	4.03386	4.05909	4.96476	4.93479	6.02578	6.73356	7.85747	2.80418	3.44244	3.89909	4.77703	5.34249	6.53461	6.15839	7.23631
1.9878	2.40744	1.58541	1.91674	3.31111	4.02425	4.07984	4.94579	4.94721	5.98734	6.73878	7.79683	2.81738	3.42778	3.91467	4.75341	5.35381	6.49024	6.17222	7.19059
1.99823	2.39877	1.60148	1.91916	3.33263	4.01462	4.10068	4.92725	4.95983	5.94981	6.74406	7.7373	2.83046	3.41324	3.9304	4.7304	5.36513	6.44665	6.18619	7.14582
2.00872	2.39032	1.61755	1.92152	3.35397	4.00495	4.1216	4.90913	4.97265	5.91316	6.74942	7.67884	2.84343	3.39883	3.94629	4.70797	5.37645	6.40382	6.20032	7.10198
2.01928	2.3821	1.63361	1.92384	3.37514	3.99524	4.14261	4.89143	4.98565	5.87737	6.75485	7.62143	2.85629	3.38453	3.96234	4.68611	5.38776	6.36173	6.2146	7.05904
2.02991	2.37409	1.64966	1.92611	3.39612	3.98549	4.1637	4.87412	4.99885	5.84243	6.76035	7.56505	2.86905	3.37037	3.97852	4.66479	5.39908	6.32037	6.22903	7.01698
2.0406	2.3663	1.6657	1.92833	3.41693	3.97568	4.18488	4.85722	5.01225	5.8083	6.76593	7.50966	2.88171	3.35632	3.99484	4.644	5.4104	6.27971	6.24172	6.98102
2.05135	2.35871	1.68173	1.9305	3.43754	3.96583	4.20614	4.8407	5.02584	5.77498	6.77158	7.45526	2.89427	3.34241	4.01129	4.6237	5.42173	6.23975	6.25262	6.95086
2.06217	2.35133	1.69776	1.93263	3.45796	3.95592	4.22749	4.82455	5.03962	5.74243	6.77731	7.4018	2.90674	3.32862	4.02786	4.60389	5.43306	6.20046	6.2617	6.92627
2.07305	2.34413	1.71378	1.93471	3.47819	3.94596	4.24893	4.80877	5.05361	5.71064	6.78311	7.34927	2.91913	3.31496	4.04456	4.58455	5.44441	6.16184	6.26891	6.90704
2.08399	2.33713	1.72979	1.93676	3.49823	3.93595	4.27045	4.79334	5.06778	5.67959	6.78898	7.29765	2.93142	3.30143	4.06136	4.56565	5.45576	6.12386	6.27424	6.89301
2.095	2.33031	1.7458	1.93876	3.51806	3.92587	4.29206	4.77827	5.08215	5.64927	6.79493	7.24692	2.94364	3.28803	4.07828	4.54717	5.46713	6.08652	6.27765	6.88409
2.10607	2.32366	1.76179	1.94072	3.5377	3.91574	4.31375	4.76353	5.09672	5.61966	6.80096	7.19706	2.95577	3.27477	4.09529	4.52911	5.47851	6.04981	6.28258	6.87134
